seg seg cht_mean slope_mean relief_mean Lh_mean
208 208 -0.443559097297 0.659459016216 18.0785576216 27.0207335135
209 209 -0.406512144444 0.630339183333 9.27218644444 13.5553674444
210 210 -0.125082738197 0.355728193133 9.6255711588 27.6521377682
211 211 -0.114835756944 0.431217090278 11.2036277778 26.3334972222
212 212 -0.382411287671 0.72184830137 17.6029408219 23.2347324658
213 213 -0.320780659091 0.636800972727 13.0894183182 18.8897852273
214 214 -0.184032738462 0.545741307692 14.4897332308 23.8104123077
215 215 -0.189828776224 0.152133224476 2.77822880408 6.50318584615
216 216 -0.159144958159 0.435139004184 10.9527285774 24.9217619247
217 217 -0.134050394737 0.510166429825 19.2948498246 35.2145552632
218 218 -0.302658527197 0.730148790795 26.0577715481 35.1515167364
219 219 -0.107655230769 0.353538137363 8.33078697802 23.373732967
220 220 -0.192316597458 0.466104372881 9.08219800847 19.4294372881
221 221 -0.355558035714 0.509637602679 9.64427785714 18.69345
222 222 -0.18532104329 0.521535212121 13.1216151515 25.0543831169
223 223 -0.256483306452 0.571883924731 16.3046231183 28.5982483871
224 224 -0.466442106838 0.561409098291 17.0778970085 30.585374359
225 225 -0.425941730769 0.577791542735 18.9879923077 32.580817094
226 226 -0.457320167364 0.638741711297 21.2057782427 32.800016318
227 227 -0.434459161702 0.648730421277 23.4414885106 35.874532766
228 228 -0.390883254386 0.674626881579 24.3228807018 36.3880688596
229 229 -0.250075615063 0.71228048954 24.497807113 34.0648891213
230 230 -0.297823924686 0.743138410042 23.6950125523 31.1884841004
231 231 -0.335341186667 0.748341026667 23.1147097778 30.4442542222
232 232 -0.439805531646 0.781670506329 28.3747291139 35.8520493671
233 233 -0.121243422414 0.657028331897 24.598912931 37.0779715517
234 234 -0.0921036276151 0.681964782427 25.5130949791 37.0615485356
235 235 -0.116140292887 0.604591794979 26.1065079498 41.3836987448
236 236 -0.208166595745 0.616363970213 22.731554 33.6004859574
237 237 -0.25301100431 0.679839607759 26.2429239655 36.8756758621
238 238 -0.162594516393 0.65275 25.6192893443 39.2028680328
239 239 -0.156826471429 0.591939271429 24.1995528571 40.58869
240 240 -0.0973600603448 0.60443275 27.2851525862 45.0658103448
241 241 -0.260188152174 0.640088195652 31.8464395652 50.3350504348
242 242 -0.32158290795 0.676256874477 34.9286309623 51.5018008368
243 243 -0.411347801688 0.715434658228 31.6711607595 44.494243038
244 244 -0.398626784232 0.747240842324 23.2974987552 30.9598087137
245 245 -0.355518426136 0.633853630682 15.5728914773 24.1926153409
246 246 -0.152901012605 0.590799340336 17.5493340336 29.5518277311
247 247 -0.213544520619 0.574334 26.9328056701 46.9259912371
248 248 -0.297851055085 0.674284983051 20.4235525424 30.3518275424
249 249 -0.214861520737 0.651872073733 25.754281106 39.3695147465
250 250 -0.197718753138 0.6885731841 30.224467364 43.6517251046
251 251 -0.190862411765 0.706404428571 27.8470760504 39.1202092437
252 252 -0.0878967196653 0.674325753138 29.5314723849 43.9872305439
253 253 -0.0801077573222 0.652342861925 30.1126284519 45.9050251046
254 254 -0.147166578059 0.664956945148 29.3908810127 43.9151278481
255 255 -0.270672056962 0.713389259494 23.2825943038 31.8680835443
256 256 -0.307577341564 0.761553156379 36.5973024691 47.5209074074
257 257 -0.154274665272 0.725501715481 33.5617129707 45.7654707113
